language,emotion,rank,song_name,artist,emotion_score,emotion_evidence,similarity,rank_score
Hindi,sadness,6,Bin Tere,Vishal-Shekhar Shafqat Amanat Ali Sunidhi Chauhan,0.847556,0.2659999999999999,0.0,0.6592891999999999
Hindi,sadness,7,Channa Mereya,Pritam Arijit Singh,0.847556,0.2659999999999999,0.0,0.6592891999999999
Hindi,sadness,8,Main Dhoondne Ko Zamaane Mein,Arijit Singh,0.847556,0.2659999999999999,0.0,0.6552891999999999
Hindi,sadness,9,"Jiya Dhadak Dhadak Jaye - From ""Kalyug""",Rahat Fateh Ali Khan Rohail Hyatt Faisal Rafi,0.847556,0.2659999999999999,0.0,0.6532891999999999
Hindi,sadness,10,Tujhe Kitna Chahne Lage,Arijit Singh,0.847556,0.2659999999999999,0.0,0.6532891999999999
Hindi,joy,1,Party On My Mind,Pritam KK Shefali Alvares Yo Yo Honey Singh Prashant Ingole,0.956236,0.3754898152640963,0.0,0.7293651999999999
Hindi,joy,2,"Party All Night (From ""Boss"")",Yo Yo Honey Singh,0.955362,0.3738354911916386,0.0,0.7267534
Hindi,joy,3,One Two Three Four (Get On The Dance Floor),Vishal-Shekhar Vishal Dadlani Hamsika Iyer,0.949816,0.364,0.0,0.7258712
Hindi,joy,4,Dance Basanti,Sachin-Jigar Vishal Dadlani Anushka Manchanda,0.949816,0.364,0.0,0.7228711999999999
Hindi,joy,5,Lungi Dance,Yo Yo Honey Singh,0.949816,0.364,0.0,0.7228711999999999
Hindi,joy,6,"Aaj Ki Raat (From ""Stree 2"")",Sachin-Jigar Madhubanti Bagchi Divya Kumar Amitabh Bhattacharya,0.847556,0.2659999999999999,0.0,0.6662891999999999
Hindi,joy,7,Aaj Ki Raat,Sachin-Jigar Madhubanti Bagchi Divya Kumar Amitabh Bhattacharya,0.847556,0.2659999999999999,0.0,0.6502892
Hindi,love,1,Ishq Wala Love,Vishal-Shekhar Shekhar Ravjiani Salim Merchant Neeti Mohan,0.987497,0.4782886493719807,0.0,0.7572478999999999
Hindi,love,2,Ishq Tera,Guru Randhawa,0.987166,0.4761774079872601,0.0,0.7460162
Hindi,love,3,Pehla Pyaar,Vishal Mishra Armaan Malik,0.956994,0.376952102852825,0.0,0.7378958
Hindi,love,4,Tere Pyaar Mein,Pritam Arijit Singh Amitabh Bhattacharya Nikhita Gandhi,0.956095,0.3752209580597927,0.0,0.7372665
Hindi,love,5,Phir Mohabbat,Mohammed Irfan Arijit Singh Saim Bhat,0.959288,0.3815278955094824,0.0,0.7345016
Hindi,love,6,Ishq Bulaava,Vishal-Shekhar Sanam Puri Shipra Goyal,0.956172,0.3753677554809397,0.0,0.7343203999999999
Hindi,love,7,"Phir Mohabbat (From ""Murder 2"")",Mohammed Irfan Arijit Singh Saim Bhat,0.957874,0.3786782237648614,0.0,0.7335118
Hindi,love,8,Ye Ishq Hai,Pritam Shreya Ghoshal Irshad Kamil,0.955782,0.3746259884371312,0.0,0.7320473999999999
Hindi,love,9,Tum Ho Mera Pyar,KK Suzanne,0.898768,0.3034439184188345,0.0,0.6851376
Hindi,love,10,Meri Jaan,Sanjay Leela Bhansali Neeti Mohan,0.739993,0.2124296337519047,0.0,0.5739951
Hindi,anger,1,I Hate Luv Storys,Vishal-Shekhar Vishal Dadlani,0.949816,0.364,0.0,0.7208712
Hindi,anger,2,"Hai Dil Ye Mera (From ""Hate Story 2"")",Arijit Singh,0.906087,0.364,0.0,0.6922609
Hindi,fear,1,"Channa Ve - From ""Bhoot - Part One: The Haunted Ship""",Mansheel Gujral Akhil Sachdeva,0.99694,0.5916566200240779,0.0,0.764858
Hindi,surprise,1,Ajab Si,Vishal-Shekhar KK,0.990358,0.4993117615072306,0.0,0.7642505999999999
Hindi,surprise,2,"Ajab Si (From ""Om Shanti Om"")",KK,0.989607,0.4932502900295406,0.0,0.7477249
Hindi,surprise,3,Twist,Neeraj Shridhar Pritam,0.962946,0.3900885016141596,0.0,0.7300622
Hindi,surprise,4,"Mere Nishaan (From ""Oh My God"")",Kailash Kher Meet Bros Anjjan,0.847556,0.2659999999999999,0.0,0.6492892
Punjabi,sadness,1,So Dukh Kaisa Paave,Jassie Gill Jaya Kishori Gurnazar,0.989946,0.4959267094380458,0.0,0.7389622
Punjabi,sadness,2,Kalla Sohna Nai,Akhil,0.957567,0.3780730367822016,0.0,0.7212969
Punjabi,sadness,3,Kalla Changa,Ninja Jaani,0.95887,0.3806763669167107,0.0,0.719209
Punjabi,sadness,4,Kalli Sohni,Arjan Dhillon,0.949816,0.364,0.0,0.7158712
Punjabi,sadness,5,"Bewafai Kar Gaya - From ""Lekh""",B Praak,0.956861,0.3766932382764437,0.0,0.7158027
Punjabi,sadness,6,Kite Kalli,Maninder Buttar,0.949816,0.364,0.0,0.7128712
Punjabi,sadness,7,Kalli Ho Gai,Jass Manak,0.949816,0.364,0.0,0.7098712
Punjabi,sadness,8,Broken Heart,Siippyy Gill,0.920014,0.364,0.0,0.6920098
Punjabi,sadness,9,Broken Heart,Nawab SEERAT BAJWA,0.920014,0.364,0.0,0.6910098
Punjabi,sadness,10,Regret,Sidhu Moose Wala,0.480538,0.1225240321895093,0.0,0.39037659999999996
Punjabi,joy,1,This Party Getting Hot,Jazzy B Yo Yo Honey Singh,0.955885,0.3748220941333528,0.0,0.7251195
Punjabi,joy,2,Dance Like,Harrdy Sandhu Jaani,0.949816,0.364,0.0,0.7188712
Punjabi,joy,3,"Sauda Khara Khara - From ""Good Newwz""",Diljit Dosanjh Sukhbir Dhvani Bhanushali Dj Chetas Lijo George Kumaar,0.949816,0.364,0.0,0.7188712
Punjabi,joy,4,Daaru Party,Millind Gaba,0.958171,0.3792692574079387,0.0,0.7187197
Punjabi,joy,5,Enna Khush Rakhuga,Sucha Yaar,0.949816,0.364,0.0,0.7128712
Punjabi,joy,6,Khush Reha Kar,Rajvir Jawanda,0.949816,0.364,0.0,0.7118712
Punjabi,joy,7,Good Luck,Garry Sandhu Rahul Sathu,0.949816,0.364,0.0,0.7108712
Punjabi,joy,8,Kala Tikka,Ravneet,0.461777,0.1164996968823292,0.0,0.37124389999999996
Punjabi,joy,9,Kala Chashma,Prem Hardeep Amar Arshi Badshah Neha Kakkar Indeep Bakshi Amrik Singh,0.455073,0.1143395911814756,0.0,0.36755109999999996
Punjabi,joy,10,Kala Jaadu,Arjan Dhillon Yung Delic,0.367527,0.1167362828138428,0.0,0.30626889999999996
Punjabi,love,1,One Love,Shubh,0.954606,0.3724289814069872,0.0,0.7382241999999999
Punjabi,love,2,Filhaal2 Mohabbat,B Praak Akshay Kumar Nupur Sanon Ammy Virk,0.958909,0.3807554256511535,0.0,0.7282363000000001
Punjabi,love,3,Nira Ishq,Guri,0.956998,0.3769590125682812,0.0,0.7278986000000001
Punjabi,love,4,Dil Tu Jaan Tu,Gurnazar Chet Singh,0.938082,0.3776053751852322,0.0,0.7266573999999999
Punjabi,love,5,Saada Pyaar,AP Dhillon Gurinder Gill Money Musik,0.956704,0.3763902971940098,0.0,0.7256928
Punjabi,love,6,Pyaar Hoya,HUSTINDER,0.956873,0.3767176736451666,0.0,0.7238111
Punjabi,love,7,Tera Mera Viah,Jass Manak,0.698584,0.196,0.0,0.5440088
Punjabi,love,8,Tera Saath,Talwiinder Vylom,0.698584,0.196,0.0,0.5400088
Punjabi,love,9,Forever,Tegi Pannu Manni Sandhu Prem Lata,0.456008,0.1146410311638435,0.0,0.3752056
Punjabi,love,10,Ishq,Nirvair Pannu,0.465806,0.1177958872172196,0.0,0.37506419999999996
Punjabi,anger,1,"Qatal (From ""Warning"")",Jordan Sandhu Shree Brar,0.935195,0.3816250749036435,0.0,0.7016365
Punjabi,anger,2,Winning Speech,Karan Aujla Mxrci,0.847556,0.2659999999999999,0.0,0.6622891999999999
Punjabi,anger,3,MVP,Shubh,0.847556,0.2659999999999999,0.0,0.6612891999999999
Punjabi,anger,4,King Shit,Shubh,0.847556,0.2659999999999999,0.0,0.6612891999999999
Punjabi,anger,5,Case,Diljit Dosanjh Intense,0.84491,0.2659999999999999,0.0,0.6524369999999999
Punjabi,anger,6,No Love,Shubh,0.781013,0.2659999999999999,0.0,0.6127091
Punjabi,fear,1,Nightmare,Chandra Brar MixSingh,0.964039,0.3918514719943362,0.0,0.7218273
Punjabi,fear,2,"Qatal (From ""Warning"")",Jordan Sandhu Shree Brar,0.033092,0.1143074235146895,0.0,0.0701644
Punjabi,surprise,1,Kamaal Ho Gea,Satinder Sartaaj Manan Bhardwaj,0.959794,0.3825715642167415,0.0,0.7208558
Punjabi,surprise,2,Zohrajabeen,B Praak Jaani,0.847556,0.2659999999999999,0.0,0.6402892
